,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
Date,06 Jan 2024,06 Jan 2024,06 Jan 2024,06 Jan 2024,07 Jan 2024,07 Jan 2024,07 Jan 2024,07 Jan 2024,07 Jan 2024,07 Jan 2024,07 Jan 2024,07 Jan 2024,08 Jan 2024,08 Jan 2024,08 Jan 2024,08 Jan 2024,08 Jan 2024,08 Jan 2024,08 Jan 2024,08 Jan 2024,09 Jan 2024,09 Jan 2024,09 Jan 2024,09 Jan 2024,09 Jan 2024,09 Jan 2024,09 Jan 2024,09 Jan 2024,10 Jan 2024,10 Jan 2024,10 Jan 2024,10 Jan 2024,10 Jan 2024,10 Jan 2024,10 Jan 2024,10 Jan 2024,11 Jan 2024,11 Jan 2024,11 Jan 2024,11 Jan 2024,11 Jan 2024,11 Jan 2024,11 Jan 2024,12 Jan 2024,12 Jan 2024,12 Jan 2024,12 Jan 2024,12 Jan 2024,12 Jan 2024,12 Jan 2024,12 Jan 2024,13 Jan 2024,13 Jan 2024,13 Jan 2024,13 Jan 2024,13 Jan 2024,13 Jan 2024,13 Jan 2024,13 Jan 2024,14 Jan 2024,14 Jan 2024,14 Jan 2024,14 Jan 2024,14 Jan 2024,14 Jan 2024,14 Jan 2024,14 Jan 2024,15 Jan 2024,15 Jan 2024,15 Jan 2024
Time ( UTC),12:00:03,15:00:03,18:00:03,21:00:03,00:00:03,04:00:13,07:00:13,10:00:13,13:00:13,16:00:13,19:00:13,22:00:13,01:00:13,04:00:13,07:00:13,10:00:13,13:00:13,16:00:13,19:00:13,22:00:13,01:00:13,05:00:13,08:00:13,11:00:13,14:00:13,17:00:13,20:00:13,23:00:13,02:00:13,05:00:13,08:00:13,11:00:13,14:00:13,17:00:13,20:00:13,23:00:13,02:00:13,06:00:13,09:00:13,12:00:13,15:00:13,18:00:13,21:00:13,00:00:13,03:00:13,06:00:13,09:00:13,12:00:13,15:00:13,18:00:13,21:00:13,00:00:13,03:00:13,06:00:13,09:00:13,12:00:13,15:00:13,18:00:13,21:00:13,00:00:13,03:00:13,07:00:13,10:00:13,13:00:13,16:00:13,19:00:13,22:00:13,01:00:13,04:00:13,07:00:13
swellHeight,0.07,0.07,0.15,0.12,0.08,0.15,0.19,0.35,0.55,0.66,0.64,0.86,0.91,0.08,0.16,0.57,0.71,1.1,1.13,0.97,0.65,0.79,0.63,0.71,0.69,0.55,0.63,0.55,0.49,0.65,0.58,0.62,0.6,0.64,0.55,0.48,0.49,0.49,0.47,0.45,0.85,0.79,0.1,0.12,0.71,0.24,0.28,0.6,0.56,0.31,0.15,0.23,0.28,0.29,0.26,0.23,0.22,0.25,0.4,0.42,0.45,0.48,0.47,0.37,0.23,0.23,0.32,0.26,0.21,0.17
waveDirection,24.64,10.51,9.51,303.74,290.19,289.02,284.41,323.76,6.93,29.13,41.93,51.72,58.38,72.05,73.97,128.39,209.27,207.89,206.54,208.99,209.29,210.98,209.06,207.58,206.3,205.9,205.92,209.11,209.6,210.05,210.67,211.85,212.26,211.58,210.21,211.96,213.11,213.29,213.32,211.97,210.87,28.97,32.12,33.3,38.52,49.98,55.29,12.01,12.91,23.95,42.2,54.05,76.7,93.11,106.13,105.96,109.79,113.27,117.77,115.74,184.67,182.43,183.76,164.48,121.93,120.05,113.47,67.09,62.28,61.2
waveHeight,0.07,0.34,0.34,0.12,0.15,0.31,0.4,0.55,0.69,0.68,0.67,0.93,1.22,1.11,1.14,1.31,1.7,1.81,1.79,1.65,1.53,1.55,1.6,1.67,1.79,1.79,1.79,1.84,1.94,1.84,1.73,1.63,1.56,1.54,1.51,1.46,1.46,1.53,1.57,1.61,1.67,1.86,1.89,1.84,1.84,1.7,1.57,1.47,1.49,1.62,1.79,1.9,1.67,1.32,1.18,1.16,1.05,1.02,1.06,1.1,1.11,1.13,1.15,1.21,1.21,1.2,1.22,1.26,1.27,1.3
windDirection,78.63,30.14,12.66,22.12,321.7,238.41,237.09,228.61,267.4,272.11,210.92,142.89,76.32,82.9,79.5,77.69,72.64,61.6,44.51,48.92,64.73,67.45,318.71,195.34,306.56,277.01,299.42,246.85,250.08,263.58,277.15,296.37,310.23,326.6,340.82,355.99,349.78,19.36,33.46,50.46,38.39,35.82,49.18,45.18,43.57,46.63,62.56,268.56,17.12,26.56,42.09,52.52,60.37,64.21,15.63,37.97,61.21,55.14,91.09,109.27,96.37,76.08,67.6,68.85,66.2,62.42,60.62,64.43,59.8,53.6
Wind Force(BF Scale),3,3,3,1,2,2,4,4,3,3,3,3,5,4,4,5,5,5,4,4,3,3,2,2,3,3,3,4,4,4,4,3,3,3,3,3,3,4,3,4,4,4,5,4,5,5,5,1,4,5,6,5,5,3,4,4,4,3,2,3,3,3,3,4,4,4,4,4,4,4
windSpeed,6.29856,9.48672,8.67024,1.67184,4.393439999999999,5.79312,10.4004,11.13912,8.786879999999998,6.84288,9.331199999999999,7.62048,17.26272,14.98824,13.56912,18.195839999999997,18.91512,17.982,12.77208,11.119679999999999,9.195120000000001,6.97896,5.57928,4.19904,7.095599999999999,7.776,7.63992,10.089360000000001,11.29464,11.52792,10.28376,9.60336,9.73944,7.4844,6.940079999999999,7.5816,8.748,11.00304,8.748,10.05048,14.424479999999999,15.571439999999999,16.485120000000002,15.765839999999999,16.99056,20.1204,17.16552,3.8491199999999997,14.03568,16.64064,22.08384,20.1204,17.554319999999997,9.87552,12.20832,10.225439999999999,10.0116,9.350639999999999,5.5598399999999994,9.25344,8.96184,8.08704,9.195120000000001,11.29464,12.577679999999999,12.577679999999999,11.62512,11.4696,13.00536,13.53024
airTemperature,28.13,26.86,25.4,22.99,26.19,26.41,26.18,26.24,25.97,24.84,24.81,26.27,27.7,27.56,27.6,27.9,28.14,28.33,28.52,27.78,27.71,27.12,25.81,25.2,24.92,25.34,25.61,25.84,26.59,27.06,27.35,27.77,28.07,27.91,27.79,27.87,28.03,28.31,28.23,28.26,28.02,28.18,28.0,27.97,27.8,27.4,27.56,27.16,27.55,27.44,27.01,27.24,27.55,27.85,28.08,28.14,28.23,28.07,27.94,28.05,28.19,28.13,28.12,28.17,28.08,27.95,27.8,27.76,27.35,27.13
waterTemperature,28.24,28.15,26.27,22.66,28.73,29.19,28.71,28.26,28.09,28.19,28.35,28.16,28.08,28.04,28.03,28.34,28.67,28.78,28.99,29.12,29.49,29.68,29.53,29.36,29.18,29.18,28.95,28.69,28.56,28.53,28.56,28.57,28.53,28.43,28.47,28.63,28.7,28.97,29.05,28.8,28.61,28.49,28.34,28.17,28.18,28.02,28.0,28.49,27.85,27.72,27.76,27.79,27.99,28.27,28.42,28.72,28.65,28.71,29.12,28.73,28.66,28.86,28.67,28.41,28.27,28.29,28.21,28.16,27.68,27.48
pressure,1009.49,1011.05,1010.58,1009.83,1011.65,1011.68,1010.09,1009.38,1010.58,1011.6,1010.66,1009.97,1011.24,1011.78,1010.16,1008.69,1009.75,1010.41,1008.77,1008.37,1010.2,1010.73,1009.19,1009.57,1011.25,1011.32,1009.44,1009.36,1010.58,1010.07,1007.75,1008.19,1010.26,1010.57,1008.85,1009.47,1011.63,1011.14,1008.19,1009.18,1011.52,1011.28,1008.79,1009.12,1011.91,1011.3,1008.65,1009.58,1011.74,1011.16,1009.36,1010.94,1013.26,1013.37,1010.44,1010.85,1012.61,1012.37,1010.9,1011.19,1013.58,1012.61,1010.75,1011.37,1013.14,1013.3,1012.81,1013.6,1015.41,1014.76
precipitation,0.79,0.44,0.37,0.31,2.18,1.86,1.41,3.08,3.26,9.42,0.31,0.2,1.06,1.02,0.03,0.0,0.0,0.08,0.63,1.11,1.38,1.43,2.27,0.93,1.13,0.42,0.84,0.76,0.02,0.0,0.0,0.0,0.11,0.01,0.0,0.37,0.18,0.0,0.01,0.01,0.33,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0
