,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
Date,23 Jan 2024,23 Jan 2024,23 Jan 2024,23 Jan 2024,23 Jan 2024,23 Jan 2024,24 Jan 2024,24 Jan 2024,24 Jan 2024,24 Jan 2024,24 Jan 2024,24 Jan 2024,24 Jan 2024,24 Jan 2024,25 Jan 2024,25 Jan 2024,25 Jan 2024,25 Jan 2024,25 Jan 2024,25 Jan 2024,25 Jan 2024,25 Jan 2024,26 Jan 2024,26 Jan 2024,26 Jan 2024,26 Jan 2024,26 Jan 2024,26 Jan 2024,26 Jan 2024,26 Jan 2024,27 Jan 2024,27 Jan 2024,27 Jan 2024,27 Jan 2024,27 Jan 2024,27 Jan 2024,27 Jan 2024,27 Jan 2024,28 Jan 2024,28 Jan 2024,28 Jan 2024,28 Jan 2024,28 Jan 2024,28 Jan 2024,28 Jan 2024,29 Jan 2024,29 Jan 2024,29 Jan 2024,29 Jan 2024,29 Jan 2024,29 Jan 2024,29 Jan 2024,29 Jan 2024,30 Jan 2024,30 Jan 2024,30 Jan 2024,30 Jan 2024,30 Jan 2024
Time ( UTC),07:00:00,11:00:00,14:00:00,17:00:00,20:00:00,23:00:00,02:00:00,05:00:00,08:00:00,11:00:00,14:00:00,17:00:00,20:00:00,23:00:00,02:00:00,05:00:00,08:00:00,11:00:00,14:00:00,17:00:00,20:00:00,23:00:00,02:00:00,05:00:00,08:00:00,11:00:00,14:00:00,17:00:00,20:00:00,23:00:00,02:00:00,05:00:00,08:00:00,11:00:00,14:00:00,17:00:00,20:00:00,23:00:00,02:00:00,05:00:00,08:00:00,12:00:00,15:00:00,18:00:00,21:00:00,00:00:00,03:00:00,06:00:00,09:00:00,12:00:00,15:00:00,18:00:00,21:00:00,00:00:00,03:00:00,06:00:00,09:00:00,12:00:00
swellHeight,1.11,0.89,0.31,0.12,0.13,0.16,0.29,0.7,1.22,1.06,2.77,3.18,3.72,4.05,4.16,4.04,3.81,3.52,2.13,2.66,1.31,0.82,2.14,2.57,0.58,1.93,2.48,2.8,2.97,3.03,2.79,2.59,2.38,2.57,2.56,2.53,2.45,2.29,2.18,2.07,0.72,1.81,1.73,1.38,1.7,1.64,1.51,1.37,1.22,0.75,0.09,0.07,0.12,0.29,0.19,0.23,0.16,0.14
waveDirection,281.74,243.68,225.46,220.61,226.12,229.65,246.58,253.44,248.6,254.53,256.35,262.47,267.47,269.47,271.55,274.26,275.3,275.78,275.38,278.26,278.89,278.12,280.44,281.01,285.1,291.96,294.96,296.21,300.48,299.56,300.01,298.75,301.51,303.74,305.23,307.65,307.18,309.33,311.9,313.07,314.34,317.7,316.48,319.28,320.43,324.5,325.28,326.74,329.55,331.26,333.1,323.13,325.28,335.71,312.66,313.27,315.52,318.6
waveHeight,2.05,1.71,2.03,2.46,2.67,3.33,4.25,3.96,3.22,2.61,2.77,3.18,3.72,4.05,4.16,4.04,3.81,3.52,3.45,3.23,3.29,3.08,2.85,2.61,2.51,2.46,2.65,2.87,2.99,3.04,2.88,2.85,2.73,2.7,2.56,2.53,2.45,2.29,2.18,2.14,1.98,1.91,1.85,1.88,1.87,1.74,1.58,1.41,1.22,0.76,0.33,0.48,0.67,0.72,0.78,1.0,1.29,1.51
windDirection,264.12,224.72,207.65,223.3,232.93,237.66,254.04,266.61,269.52,257.25,242.35,224.45,229.59,224.52,219.95,207.84,210.08,221.93,219.15,213.05,216.71,226.28,259.03,339.79,38.33,57.44,46.26,27.18,29.41,38.05,98.03,142.15,167.62,160.94,188.83,195.18,184.72,178.54,169.49,169.82,165.46,153.08,170.51,174.21,159.99,116.58,83.89,74.99,86.95,131.83,198.39,327.55,16.58,54.5,62.46,55.63,68.44,79.73
Wind Force(BF Scale),5,5,7,7,7,8,8,7,6,5,4,4,5,5,5,5,5,5,5,6,6,6,4,4,5,5,5,5,4,3,2,3,3,3,3,3,3,4,4,4,4,4,4,4,3,2,1,3,3,3,1,1,3,4,4,4,4,3
windSpeed,19.59552,20.412,29.85984,31.04568,28.07136,35.478,33.3396,28.460160000000002,21.92832,16.426799999999997,12.42216,14.26896,17.41824,16.387919999999998,17.92368,18.29304,19.22616,18.31248,20.13984,21.88944,23.0364,21.111839999999997,15.18264,15.901919999999999,17.18496,17.3016,19.342799999999997,17.04888,12.94704,7.13448,5.6376,6.39576,7.32888,8.9424,8.80632,8.82576,9.272879999999999,11.25576,11.97504,12.0528,12.013919999999999,12.908159999999999,13.5108,11.91672,9.078479999999999,5.38488,3.12984,8.28144,8.14536,6.1624799999999995,2.08008,2.44944,9.83664,10.38096,10.206,10.4976,10.225439999999999,8.786879999999998
airTemperature,6.73,8.01,8.82,10.3,11.22,11.67,11.28,10.28,10.66,10.6,10.78,11.64,12.19,12.75,12.59,12.58,12.84,13.63,13.38,13.22,13.7,13.8,13.88,12.9,12.68,13.08,13.44,13.86,14.15,14.87,15.8,16.06,16.18,16.84,16.99,17.41,17.84,18.58,18.9,18.95,19.0,19.42,19.77,19.62,19.55,20.04,20.11,20.04,20.19,20.57,20.46,21.04,21.2,20.86,20.42,20.39,19.97,20.0
waterTemperature,5.81,8.52,8.35,8.4,9.53,9.07,9.0,8.75,9.85,10.0,10.48,10.97,10.99,11.33,11.45,11.65,11.9,11.94,12.06,11.99,12.39,12.79,13.1,13.09,13.45,13.32,13.59,14.08,14.26,14.6,15.6,15.43,15.43,16.68,16.89,17.09,17.28,18.1,18.44,18.43,18.43,18.76,18.76,18.66,18.53,18.99,19.1,19.25,19.34,19.74,20.09,19.84,19.63,19.71,19.91,19.73,19.37,19.49
pressure,1022.91,1021.95,1019.1,1018.23,1017.0,1019.09,1020.14,1023.02,1027.5,1029.56,1029.4,1029.09,1028.65,1029.27,1028.23,1027.47,1027.15,1027.35,1027.49,1027.28,1028.12,1029.58,1031.25,1033.23,1035.0,1035.18,1032.82,1030.69,1030.04,1028.14,1026.24,1025.04,1024.86,1025.09,1023.93,1023.37,1024.08,1024.0,1023.22,1022.59,1023.21,1024.24,1022.42,1022.83,1023.83,1023.74,1023.4,1022.84,1023.45,1024.16,1022.53,1022.52,1023.58,1022.89,1021.86,1021.36,1022.58,1022.71
precipitation,0.0,0.23,0.12,0.12,0.01,0.04,0.02,0.0,0.0,0.0,0.01,0.02,0.0,0.03,0.07,0.05,0.01,0.0,0.0,0.0,0.0,0.26,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
